image_url;A;B;C;doubleAgreement;tripleAgreement
IMG_01467.png;[(437, 81), (150, 30), (322, 85), (584, 86), (734, 107), (898, 156), (962, 235), (944, 583), (1003, 428), (948, 397), (751, 290), (514, 289), (46, 338), (179, 566), (680, 423), (360, 438)];[(435, 75), (300, 536)];[(436, 80), (447, 73), (592, 89), (72, 333), (491, 300), (664, 422), (941, 573)];[(439, 78), (588, 88), (943, 578), (503, 295), (59, 336), (672, 423)];[(436, 79), (440, 77)]
IMG_01468.png;[(718, 492), (819, 428), (917, 244), (977, 253), (747, 122), (558, 85), (480, 54), (250, 82), (23, 398), (354, 394)];[(230, 78), (706, 483), (354, 392), (141, 638)];[(269, 78), (747, 478), (359, 384), (917, 254)];[(712, 488), (917, 249), (251, 81), (356, 391)];[(356, 390)]
IMG_01470.png;[(328, 709), (179, 71), (765, 176), (602, 220), (362, 212)];[(768, 167), (836, 194), (325, 714), (286, 636), (189, 66)];[(761, 141), (634, 423), (621, 200), (321, 717)];[(325, 714), (184, 69), (766, 164), (612, 210)];[(325, 714)]
IMG_01471.png;[(636, 169), (749, 231), (648, 285), (442, 441)];[(652, 170), (722, 327)];[(662, 154), (738, 237)];[(651, 167), (744, 234)];[]
IMG_01472.png;[(243, 445), (566, 659), (663, 687), (838, 593), (952, 118), (499, 152)];[(561, 661), (248, 443)];[(570, 669), (850, 589), (961, 114), (255, 444)];[(249, 445), (566, 664), (844, 591), (957, 116)];[(249, 444), (566, 663)]
IMG_01473.png;[(375, 250), (448, 131), (665, 64), (970, 39), (243, 657), (105, 714)];[(243, 655), (442, 733), (899, 328), (970, 44), (859, 91), (50, 140), (655, 171), (442, 136)];[(540, 483), (251, 656), (974, 43), (868, 85), (431, 737), (451, 145), (660, 70), (42, 140)];[(448, 138), (663, 67), (972, 43), (247, 657), (437, 735), (864, 88), (46, 140)];[(447, 138), (972, 42), (246, 656)]
IMG_01474.png;[(533, 287), (395, 253), (584, 471), (797, 450), (635, 244), (734, 138), (570, 644)];[(590, 471), (541, 297), (740, 146), (57, 448), (713, 605), (428, 605), (397, 259)];[(792, 453), (521, 288), (590, 471), (737, 137), (643, 244)];[(532, 292), (396, 256), (588, 471), (795, 452), (639, 244), (738, 141)];[(532, 291), (588, 471), (737, 141)]
IMG_01475.png;[(154, 568), (788, 142)];[(524, 646), (638, 652)];[(795, 128), (640, 649), (514, 645), (470, 551), (933, 469)];[(792, 135), (519, 646), (639, 651)];[]
IMG_01476.png;[(959, 338), (137, 554), (157, 221), (550, 723), (573, 569), (882, 299), (215, 140)];[(543, 530), (514, 503), (966, 333), (715, 130), (158, 227), (215, 138), (327, 114), (345, 60), (780, 231)];[(146, 579), (130, 556), (391, 530), (580, 579), (542, 537), (502, 505), (950, 344), (327, 112), (213, 130), (150, 228)];[(959, 339), (138, 562), (156, 226), (577, 574), (215, 137), (543, 534), (508, 504), (327, 113)];[(959, 339), (155, 226), (215, 136)]
IMG_01477.png;[(828, 490), (453, 326), (506, 189), (89, 242), (102, 593), (414, 702), (946, 741), (595, 582)];[(450, 321), (108, 594)];[(426, 722), (475, 330), (544, 197)];[(460, 326), (105, 594), (420, 712)];[(460, 326)]
IMG_01478.png;[(666, 382), (338, 85), (207, 53), (63, 309), (138, 312), (372, 472)];[(969, 103), (341, 83), (301, 100)];[(647, 391), (345, 78), (130, 353), (441, 530)];[(657, 387), (342, 83)];[(342, 82)]
IMG_01479.png;[(472, 496), (567, 564), (974, 659), (515, 212), (177, 38), (39, 357), (262, 537), (125, 681), (675, 378), (935, 427), (781, 326), (330, 200), (568, 47)];[(336, 198), (53, 377), (14, 452)];[(812, 532), (672, 380), (584, 517), (457, 159), (238, 129), (333, 202), (704, 127), (181, 141), (259, 553)];[(46, 367), (261, 545), (674, 379), (334, 201)];[(333, 200)]
IMG_01480.png;[(59, 124), (171, 117), (461, 493), (447, 145)];[(859, 118), (691, 102)];[(457, 499), (690, 106), (282, 415), (538, 155)];[(459, 496), (691, 104)];[]
IMG_01482.png;[(559, 631), (521, 701), (536, 291), (640, 245), (801, 457)];[(589, 467), (540, 288), (399, 255)];[(645, 242), (72, 276), (808, 458), (578, 479)];[(538, 290), (643, 244), (805, 458), (584, 473)];[]
IMG_01483.png;[(153, 565), (796, 371), (782, 138)];[(523, 646)];[(802, 120)];[(792, 129)];[]
IMG_01484.png;[(818, 462), (148, 561)];[(157, 227)];[(145, 572), (145, 571), (162, 218), (951, 340), (544, 540), (608, 449)];[(147, 568), (160, 223)];[]
IMG_01485.png;[(62, 660), (526, 587), (763, 30), (869, 51), (28, 79)];[(189, 566), (54, 664), (712, 572), (867, 385), (806, 408), (609, 391), (762, 34), (655, 91)];[(41, 670), (173, 579), (590, 239), (652, 91), (861, 45), (609, 392), (651, 282)];[(53, 665), (763, 32), (865, 48), (181, 573), (609, 392), (654, 91)];[(53, 665)]
IMG_01486.png;[(664, 535), (218, 469), (397, 365), (344, 566), (162, 162), (485, 112), (127, 712), (179, 662)];[(40, 236), (672, 524), (389, 366)];[(661, 530), (392, 356), (307, 557), (40, 236), (128, 717), (209, 463)];[(666, 530), (214, 466), (393, 363), (128, 715), (40, 236)];[(666, 530), (393, 363)]
IMG_01487.png;[(903, 191), (930, 313), (883, 624), (821, 575), (583, 617), (591, 703)];[(587, 698), (736, 745), (821, 573), (575, 614), (844, 157), (976, 23)];[(567, 624), (823, 579), (288, 281), (852, 644), (187, 389), (804, 217), (183, 672), (595, 711)];[(822, 576), (576, 619), (592, 705)];[(822, 576), (575, 619), (591, 704)]
IMG_01488.png;[(289, 675), (991, 145), (959, 425), (330, 473)];[(332, 471), (639, 263), (286, 674), (120, 340), (56, 409)];[(337, 459), (122, 336), (54, 407), (224, 124), (113, 298), (577, 300), (819, 244)];[(288, 675), (334, 469), (121, 338), (55, 408)];[(333, 468)]
IMG_01489.png;[(809, 660), (830, 298), (932, 633), (112, 340), (659, 601)];[(848, 175)];[(117, 348), (841, 283), (851, 160), (809, 653)];[(809, 657), (836, 291), (115, 344), (850, 168)];[]
IMG_01492.png;[(692, 477), (545, 557), (222, 631), (150, 525), (260, 199), (840, 449)];[(255, 201), (838, 451), (553, 559)];[(259, 202), (548, 557), (831, 449)];[(549, 558), (259, 201), (837, 450)];[(549, 558), (258, 201), (837, 450)]
IMG_01493.png;[(531, 566), (453, 677), (66, 657), (763, 29), (862, 45), (947, 341)];[(191, 562), (877, 46)];[(55, 667), (190, 562)];[(61, 662), (870, 46), (191, 562)];[]
IMG_01494.png;[(685, 523), (392, 363), (206, 463), (472, 117), (231, 81), (718, 38), (53, 403)];[(664, 522), (393, 359)];[(666, 510), (393, 368), (350, 566), (453, 116)];[(672, 519), (393, 364), (463, 117)];[(672, 519), (393, 364)]
IMG_01495.png;[(902, 190), (995, 573), (859, 626), (799, 570), (567, 618), (587, 700), (134, 304), (648, 378), (947, 309)];[(820, 575), (1008, 580), (582, 566), (595, 704), (905, 188)];[(600, 610), (820, 570), (123, 316)];[(904, 189), (1002, 577), (814, 572), (591, 702), (129, 310)];[(813, 572)]
IMG_01496.png;[(165, 308), (280, 685)];[(332, 465)];[];[];[]
IMG_01425.png;[(931, 451), (767, 678), (352, 430), (287, 124), (196, 417), (611, 593), (536, 439)];[(543, 439), (352, 433), (288, 124), (611, 596), (871, 348), (929, 451), (569, 114), (677, 58)];[(550, 439), (607, 608), (931, 617), (365, 430), (197, 413), (93, 443), (294, 180), (287, 127)];[(930, 451), (357, 432), (288, 126), (197, 415), (611, 600), (544, 439)];[(357, 431), (288, 125), (610, 599), (543, 439)]
IMG_01426.png;[(564, 245), (599, 101), (571, 446), (780, 658), (849, 659), (998, 65), (883, 49), (703, 748), (335, 725)];[(564, 444), (567, 240), (339, 723), (163, 624), (45, 663), (616, 419), (708, 322), (790, 649)];[(599, 97), (602, 92), (478, 76), (307, 88), (561, 435), (786, 659), (864, 658), (169, 693), (162, 620), (582, 326)];[(566, 243), (600, 98), (566, 442), (786, 656), (857, 659), (337, 724), (163, 622)];[(566, 442), (786, 656)]
IMG_01428.png;[(832, 682), (575, 512), (727, 477), (664, 78), (190, 102)];[(1012, 284), (1012, 121), (553, 378), (548, 657), (329, 157)];[(254, 426)];[];[]
IMG_01430.png;[(487, 327), (264, 561), (77, 707), (710, 263), (44, 137)];[(670, 545), (46, 140)];[];[(45, 139)];[]
IMG_01431.png;[(574, 675), (965, 588), (652, 603), (701, 506)];[(649, 603), (691, 523), (572, 674), (224, 323)];[(572, 681), (640, 606)];[(573, 677), (648, 605), (696, 515)];[(573, 677), (647, 604)]
IMG_01433.png;[(848, 386), (779, 435), (603, 553), (327, 694), (561, 63)];[(844, 389)];[];[(846, 388)];[]
IMG_01434.png;[(556, 425), (531, 216), (817, 60), (924, 53), (119, 93), (658, 93)];[(813, 61), (523, 212)];[(523, 215), (823, 50)];[(526, 215), (818, 58)];[(526, 215), (818, 57)]
IMG_01435.png;[(176, 63), (336, 70), (256, 679), (248, 546), (375, 735), (247, 157)];[(337, 67), (251, 548)];[(250, 544), (241, 157)];[(337, 69), (250, 547), (244, 157)];[(250, 546)]
IMG_01436.png;[(948, 104), (963, 576), (431, 512), (402, 650), (843, 195)];[(970, 576), (670, 699), (133, 482)];[(987, 568), (779, 425), (433, 510)];[(974, 574), (432, 511)];[(974, 574)]
IMG_01437.png;[(198, 426), (296, 348), (283, 119)];[(541, 438), (289, 122)];[(367, 441), (277, 119)];[(284, 121)];[(283, 120)]
IMG_01438.png;[(570, 237), (802, 623), (567, 440), (606, 92), (850, 660)];[(616, 417), (798, 630)];[(751, 672), (862, 650), (571, 232), (607, 81)];[(571, 235), (800, 627), (607, 87), (856, 655)];[]
IMG_01439.png;[(385, 575), (278, 722), (679, 94), (905, 114)];[(513, 583)];[(606, 565), (673, 91)];[(676, 93)];[]
IMG_01440.png;[(730, 467), (843, 674), (807, 114), (185, 101), (1007, 286)];[(844, 683), (547, 657), (1013, 281)];[(570, 509)];[(844, 679), (1010, 284)];[]
IMG_01441.png;[(79, 721), (292, 734), (348, 576), (786, 540), (858, 581), (978, 605), (794, 678), (869, 389), (613, 287), (310, 282), (803, 71), (385, 166), (458, 742)];[(83, 724), (276, 712), (185, 694), (847, 587), (793, 532), (1016, 308), (865, 394)];[(325, 280), (82, 717), (284, 744), (848, 590), (786, 530), (891, 699), (851, 193), (545, 118), (656, 421), (794, 685), (548, 749), (459, 741), (861, 392)];[(82, 721), (287, 732), (789, 535), (851, 587), (794, 682), (866, 393), (318, 281), (459, 742)];[(82, 721), (789, 534), (851, 586), (865, 392)]
IMG_01442.png;[(275, 354), (967, 729), (767, 743), (49, 702), (163, 689), (26, 452)];[(366, 297), (613, 145), (299, 747)];[(277, 342), (310, 441), (675, 701), (625, 141), (178, 692), (787, 737), (384, 260), (366, 300), (391, 133), (435, 196)];[(276, 348), (777, 740), (171, 691), (366, 299), (619, 143)];[]
IMG_01443.png;[(181, 185), (217, 155), (642, 165), (769, 151), (749, 363), (838, 566), (236, 688), (247, 93), (544, 115), (671, 114)];[(102, 399), (46, 426), (816, 620), (781, 157), (650, 164), (646, 253), (547, 115)];[(660, 176), (259, 90), (550, 112), (1017, 48)];[(651, 169), (775, 154), (253, 92), (548, 115)];[(651, 169), (547, 114)]
IMG_01444.png;[(518, 225), (385, 95), (80, 330), (311, 566)];[(211, 565), (517, 229), (306, 570), (973, 198), (78, 335)];[(536, 226), (80, 343), (66, 187)];[(524, 227), (80, 337), (309, 568)];[(524, 227), (80, 336)]
IMG_01445.png;[(923, 549), (750, 577), (458, 196), (682, 374), (634, 99)];[(897, 306), (956, 315)];[(483, 231), (347, 180), (632, 105), (457, 665)];[(633, 102)];[]
IMG_01446.png;[(127, 702), (354, 681), (775, 490), (901, 345), (396, 228), (90, 58), (541, 16)];[(224, 646), (442, 145)];[(840, 260), (421, 246), (389, 156), (437, 142), (82, 46), (763, 486), (383, 674)];[(369, 678), (769, 488), (86, 52), (440, 144)];[]
IMG_01448.png;[(846, 567), (662, 177), (864, 311), (809, 72), (443, 238), (374, 419), (34, 364), (36, 539), (222, 611), (445, 693)];[(478, 178), (121, 147), (108, 717), (856, 562), (450, 237)];[(447, 234), (660, 182), (799, 70)];[(851, 565), (661, 180), (804, 71), (447, 237)];[(447, 237)]
IMG_01449.png;[(801, 446), (830, 629), (816, 236), (898, 180), (417, 360), (203, 660), (234, 520), (215, 194), (112, 99), (388, 298)];[(812, 233), (790, 73), (909, 169)];[(911, 170), (803, 232), (187, 660), (810, 470), (233, 524), (387, 686), (814, 604), (636, 183)];[(806, 458), (822, 617), (811, 234), (907, 174), (195, 660), (234, 522)];[(811, 234), (906, 173)]
IMG_01450.png;[(656, 723), (837, 710), (96, 301), (494, 100), (67, 137)];[(940, 259)];[(504, 89)];[(499, 95)];[]
IMG_01451.png;[(131, 320), (997, 108), (680, 63), (450, 456)];[(993, 109)];[(946, 542), (575, 76)];[(995, 109)];[]
IMG_01452.png;[(717, 255), (101, 97), (947, 157)];[(382, 701), (641, 509), (451, 189), (1000, 457)];[(690, 53), (441, 196), (190, 332), (99, 200), (61, 118)];[(446, 193)];[]
IMG_01453.png;[(785, 539), (856, 579), (85, 713), (348, 566), (408, 70)];[(352, 573), (557, 747), (470, 743)];[(79, 715), (862, 570), (863, 191)];[(859, 575), (82, 714), (350, 570)];[]
IMG_01454.png;[(275, 359), (45, 255)];[];[];[];[]
IMG_01455.png;[(784, 148)];[(389, 417), (646, 252), (507, 641), (551, 113), (671, 115)];[(675, 116), (386, 413)];[(388, 415), (673, 116)];[]
IMG_01456.png;[(515, 221), (381, 87)];[(441, 235), (80, 330)];[(472, 229)];[];[]
IMG_01499.png;[(831, 714), (192, 264), (287, 512)];[(872, 599), (739, 718), (195, 256), (22, 189), (281, 496), (376, 660), (350, 199)];[(351, 209), (193, 250), (27, 196), (841, 697), (876, 587), (456, 146), (271, 478), (382, 665)];[(836, 706), (194, 257), (281, 496), (874, 593), (25, 193), (379, 663), (351, 204)];[(194, 257)]
IMG_01511.png;[(743, 722)];[(858, 686), (203, 255), (36, 195), (818, 158), (869, 296)];[(204, 264), (823, 727), (31, 206)];[(204, 260), (34, 201)];[]
IMG_01545.png;[(785, 240), (711, 445), (986, 211)];[(123, 525), (984, 206), (1017, 429), (697, 444), (79, 411)];[(776, 239), (120, 523), (696, 451), (770, 235), (161, 410)];[(778, 239), (702, 447), (985, 209), (122, 524)];[(702, 447)]
IMG_01546.png;[(732, 331), (894, 158), (967, 95), (816, 92), (440, 126), (35, 584)];[(736, 328), (975, 81), (888, 160), (738, 56), (822, 86), (451, 129), (331, 238), (202, 328), (37, 571), (853, 616), (787, 666), (379, 33)];[(727, 317), (890, 157), (959, 104), (826, 83), (737, 60), (427, 136), (568, 337), (328, 242), (846, 605), (791, 671), (205, 329), (51, 602), (257, 696), (60, 93)];[(732, 326), (891, 159), (968, 94), (822, 88), (440, 131), (40, 586), (738, 58), (330, 240), (204, 329), (850, 611), (789, 669)];[(732, 326), (891, 159), (967, 94), (822, 87), (440, 131)]
IMG_01547.png;[(591, 195), (675, 101), (102, 584), (118, 515), (100, 680)];[(113, 522), (103, 586), (591, 194), (667, 93)];[(590, 190), (648, 98), (818, 235), (808, 415), (550, 250), (121, 518), (92, 588), (308, 166)];[(591, 194), (664, 98), (100, 587), (118, 519)];[(591, 193), (664, 98), (99, 586), (118, 519)]
IMG_01548.png;[(561, 452), (524, 56), (292, 654), (719, 583), (783, 735), (973, 423)];[(294, 651), (782, 733), (625, 510), (529, 34), (463, 193), (300, 160), (388, 58), (454, 128), (970, 414), (738, 583), (690, 694), (87, 506), (704, 51)];[(977, 412), (707, 560), (773, 715), (304, 159), (561, 441), (621, 510), (700, 131), (465, 134)];[(561, 447), (527, 45), (293, 653), (721, 579), (780, 729), (974, 417), (623, 510), (302, 160), (460, 131)];[(780, 728), (974, 417)]
IMG_01549.png;[(393, 124), (590, 172), (772, 594), (488, 395)];[(581, 174), (759, 594), (489, 388)];[(510, 392), (600, 168), (961, 416), (375, 127)];[(384, 126), (591, 172), (766, 594), (496, 392)];[(591, 172), (496, 392)]
IMG_01550.png;[(61, 401), (549, 554), (337, 642), (170, 713)];[];[(309, 159), (355, 627), (185, 701), (51, 395)];[(56, 398), (346, 635), (178, 707)];[]
IMG_01551.png;[(530, 296), (382, 64), (205, 115), (142, 674), (751, 129), (731, 247), (963, 291)];[(133, 683), (530, 289), (775, 118)];[(531, 287), (111, 684), (729, 242)];[(531, 291), (131, 682), (763, 124), (730, 245)];[(531, 291)]
IMG_01552.png;[(150, 47), (547, 46), (973, 587), (768, 443), (239, 406)];[(634, 321), (1002, 97), (303, 97), (356, 88)];[(626, 329), (357, 85), (771, 449), (457, 260)];[(770, 446), (630, 325), (357, 87)];[]
IMG_01553.png;[(250, 255), (90, 292), (204, 103), (501, 296), (624, 154), (850, 43), (709, 132)];[(511, 302), (694, 561), (470, 611), (97, 304), (206, 108), (717, 136), (853, 46)];[(641, 345), (493, 292), (415, 74), (85, 282), (465, 608), (684, 566)];[(91, 293), (205, 106), (502, 297), (852, 45), (713, 134), (689, 564), (468, 610)];[(91, 293), (502, 297)]
IMG_01554.png;[(299, 467), (385, 525), (712, 669)];[(314, 575)];[(332, 571), (306, 575), (712, 677), (873, 320)];[(712, 673), (318, 574)];[]
IMG_01555.png;[(863, 474), (983, 356), (683, 307), (822, 75), (163, 516), (238, 596), (305, 689), (608, 514)];[(160, 510), (250, 603), (322, 680)];[(720, 465), (617, 526), (160, 522), (869, 476), (308, 672), (228, 597)];[(866, 475), (162, 517), (239, 599), (312, 681), (613, 520)];[(161, 516), (239, 599), (312, 681)]
IMG_01556.png;[(304, 205), (853, 694), (803, 64), (578, 218), (431, 122), (594, 415)];[(539, 740), (588, 227), (300, 212)];[(428, 130), (528, 140), (157, 410), (184, 155), (845, 700)];[(302, 209), (849, 697), (583, 223), (430, 126)];[]
IMG_01557.png;[(714, 441), (477, 355)];[];[(713, 446)];[(714, 444)];[]
IMG_01558.png;[(728, 320), (985, 102), (444, 136), (844, 609), (901, 168), (824, 96)];[(501, 366), (739, 329)];[(724, 317), (892, 162), (831, 591), (436, 128), (41, 577)];[(731, 323), (440, 132), (838, 600), (897, 165)];[(731, 322)]
IMG_01559.png;[(101, 682), (656, 96), (585, 186)];[(664, 103), (583, 200)];[(100, 596), (656, 109)];[(660, 103), (584, 193)];[(659, 103)]
IMG_01560.png;[(526, 40), (568, 448), (289, 149)];[(787, 739), (562, 442), (618, 504), (541, 51)];[(559, 446), (727, 579), (454, 131)];[(534, 46), (563, 446)];[(563, 446)]
IMG_01561.png;[(65, 243)];[(663, 580), (717, 434), (56, 245)];[(77, 235), (387, 455), (663, 575), (718, 434), (922, 253)];[(67, 242), (663, 578), (718, 434)];[(66, 241)]
IMG_01562.png;[(656, 465), (552, 322), (572, 615)];[(572, 617), (791, 216)];[(550, 318), (658, 471), (244, 349), (182, 253), (567, 630), (794, 223), (61, 219)];[(657, 468), (551, 320), (571, 621), (793, 220)];[(571, 621)]
IMG_01563.png;[(317, 288), (194, 179), (517, 672), (330, 715), (228, 477), (917, 573)];[(21, 712), (190, 699), (344, 720), (520, 670), (271, 97)];[(521, 659), (670, 626), (348, 706), (189, 701), (228, 473), (321, 285), (51, 345)];[(319, 287), (520, 668), (341, 715), (228, 475), (190, 700)];[(520, 667), (341, 714)]
IMG_01564.png;[(651, 272), (814, 27), (170, 196), (505, 393)];[(108, 719)];[(648, 267), (824, 25), (282, 603), (170, 194)];[(650, 270), (819, 26), (170, 195)];[]
IMG_01565.png;[(98, 418), (226, 512), (721, 459), (712, 685), (971, 148)];[(704, 682)];[(543, 550), (206, 385)];[(708, 684)];[]
IMG_01566.png;[(268, 191), (683, 223), (904, 254)];[(696, 231), (275, 199)];[];[(272, 195), (690, 227)];[]
IMG_01567.png;[(366, 252), (269, 312), (429, 225), (55, 400), (320, 547), (157, 742)];[(343, 563), (497, 281), (474, 218)];[(332, 569), (429, 223)];[(429, 224), (332, 560)];[(332, 560)]
IMG_01568.png;[(715, 464), (947, 401)];[(781, 504)];[(451, 285), (958, 395), (760, 515)];[(953, 398), (771, 510)];[]
IMG_01569.png;[(376, 365), (645, 85), (115, 155)];[];[(301, 341)];[];[]
IMG_01570.png;[(826, 727), (115, 104), (518, 176)];[(772, 110)];[(673, 577), (123, 111)];[(119, 108)];[]
IMG_01571.png;[(474, 339), (399, 255), (697, 220), (668, 366), (76, 664)];[(408, 257)];[(483, 337), (304, 632), (170, 239)];[(479, 338), (404, 256)];[]
IMG_01572.png;[(990, 427), (461, 165)];[(458, 160), (845, 29), (61, 136)];[(701, 269), (449, 160), (277, 342), (66, 134)];[(457, 162), (64, 135)];[(456, 162)]
IMG_01573.png;[(57, 230), (360, 308)];[(351, 298)];[];[(356, 303)];[]
IMG_01574.png;[(550, 322), (791, 221), (724, 554), (135, 580)];[(659, 463)];[(247, 352), (657, 476), (787, 230), (718, 559), (186, 258), (302, 99), (45, 677)];[(789, 226), (721, 557), (658, 470)];[]
IMG_01575.png;[(312, 288), (327, 515), (920, 578), (184, 191), (356, 727), (514, 677)];[(518, 677), (642, 48), (606, 109), (238, 479), (326, 279), (197, 184)];[(521, 675), (319, 282), (241, 476), (271, 496), (31, 364), (318, 706), (889, 582)];[(320, 284), (191, 188), (518, 677), (240, 478)];[(319, 283), (518, 677)]
IMG_01576.png;[(809, 37), (67, 137), (157, 77), (288, 511), (640, 270)];[];[(438, 510), (271, 601), (825, 40)];[(817, 39)];[]
IMG_01577.png;[(717, 475), (922, 395), (313, 655), (307, 437)];[(718, 475), (645, 488), (693, 378), (923, 628), (593, 492), (164, 442)];[(719, 478), (639, 490), (916, 391), (869, 300), (305, 435), (284, 388), (135, 110), (924, 632), (797, 148), (106, 463)];[(719, 477), (919, 393), (306, 436), (642, 489), (924, 630)];[(718, 476)]
