image_url;point;polygon
IMG_01457.png;(189, 30);[(188, 15), (209, 13), (228, 5), (235, 4), (243, 4), (239, 21), (226, 32), (214, 41), (202, 51), (196, 56), (188, 56), (170, 46), (161, 41), (152, 40), (146, 27), (152, 21), (163, 18), (173, 15), (182, 15)]
IMG_01457.png;(140, 377);[(158, 360), (157, 388), (161, 405), (137, 391), (127, 397), (115, 400), (111, 398), (126, 412), (124, 417), (122, 421), (116, 424), (104, 412), (93, 406), (82, 394), (76, 380), (70, 372), (85, 367), (115, 371), (123, 373), (134, 362), (148, 354), (157, 351)]
IMG_01457.png;(32, 381);[(31, 337), (47, 350), (47, 356), (38, 363), (40, 371), (46, 380), (62, 396), (63, 401), (38, 401), (20, 400), (10, 395), (4, 388), (7, 376), (11, 367), (3, 362), (4, 355), (21, 343), (23, 330)]
IMG_01458.png;(767, 182);[(740, 241), (736, 232), (737, 219), (740, 212), (737, 187), (735, 175), (731, 164), (728, 149), (728, 138), (731, 124), (741, 114), (750, 109), (761, 105), (770, 102), (782, 107), (795, 114), (801, 120), (804, 125), (806, 135), (811, 146), (815, 152), (821, 159), (821, 172), (815, 183), (808, 190), (802, 198), (797, 209), (793, 216), (789, 230), (784, 242), (781, 253), (779, 259), (778, 264), (771, 270), (762, 271), (752, 272), (744, 273), (741, 269), (739, 255), (738, 244)]
IMG_01458.png;(611, 212);[(658, 12), (658, 21), (665, 26), (668, 32), (660, 41), (658, 50), (661, 52), (672, 53), (668, 60), (658, 63), (652, 67), (644, 76), (638, 87), (632, 97), (627, 102), (627, 103), (631, 107), (641, 107), (642, 116), (630, 145), (630, 160), (631, 171), (636, 170), (642, 166), (644, 182), (648, 177), (653, 194), (651, 204), (658, 232), (643, 245), (633, 258), (621, 266), (611, 268), (601, 276), (594, 278), (586, 287), (583, 288), (577, 277), (573, 286), (563, 294), (547, 302), (535, 308), (525, 314), (523, 311), (524, 298), (531, 288), (534, 276), (541, 265), (543, 265), (547, 266), (551, 262), (601, 131), (603, 114), (607, 105), (632, 51), (643, 27), (650, 16), (656, 11)]
IMG_01458.png;(629, 429);[(636, 398), (616, 403), (595, 422), (595, 427), (602, 439), (613, 471), (626, 472), (650, 466), (645, 455), (639, 446), (649, 396)]
IMG_01458.png;(451, 351);[(486, 322), (498, 340), (489, 345), (467, 354), (440, 372), (416, 378), (405, 379), (392, 378), (396, 368), (412, 358), (424, 351), (432, 341), (432, 325), (438, 310), (442, 306), (448, 324), (457, 334), (460, 331), (459, 323), (464, 316), (467, 313), (475, 315)]
IMG_01458.png;(125, 398);[(162, 412), (157, 401), (78, 352), (92, 381), (115, 402), (129, 414), (158, 416)]
IMG_01458.png;(183, 75);[(251, 8), (273, 10), (278, 10), (264, 28), (254, 42), (244, 58), (230, 75), (217, 88), (208, 101), (197, 112), (178, 118), (162, 123), (147, 128), (128, 138), (123, 143), (111, 135), (103, 130), (90, 124), (80, 117), (87, 110), (111, 95), (128, 78), (144, 63), (165, 48), (174, 42), (173, 36), (171, 28), (176, 21), (201, 15), (226, 11)]
IMG_01458.png;(629, 556);[(642, 522), (648, 548), (652, 560), (652, 573), (651, 585), (635, 593), (617, 594), (612, 596), (611, 586), (608, 572), (608, 555), (612, 540), (612, 535), (616, 524), (623, 522), (627, 520), (636, 516), (643, 518)]
IMG_01458.png;(498, 650);[(482, 655), (492, 647), (497, 640), (504, 632), (506, 622), (509, 616), (514, 606), (521, 611), (518, 621), (515, 640), (517, 650), (523, 660), (518, 659), (511, 659), (505, 659), (500, 659), (494, 660), (491, 660), (481, 660)]
IMG_01458.png;(290, 643);[(294, 578), (266, 636), (249, 687), (220, 763), (237, 766), (254, 735), (263, 731), (266, 702), (287, 681), (295, 666), (317, 640), (332, 643), (336, 628), (328, 612), (311, 602), (306, 584)]
IMG_01458.png;(327, 719);[(342, 678), (349, 677), (360, 671), (363, 685), (360, 701), (353, 729), (358, 731), (368, 731), (378, 721), (390, 721), (385, 747), (388, 756), (386, 764), (377, 766), (358, 765), (341, 764), (338, 757), (328, 757), (316, 756), (311, 747), (303, 736), (306, 724), (309, 715), (306, 700), (316, 694), (328, 692), (345, 688), (356, 682)]
IMG_01458.png;(121, 740);[(120, 722), (131, 725), (130, 713), (145, 718), (139, 731), (140, 742), (141, 760), (146, 766), (134, 766), (124, 754), (121, 751), (112, 745), (104, 738), (102, 736), (105, 733), (112, 732), (119, 730)]
IMG_01459.png;(441, 453);[(423, 416), (410, 421), (408, 428), (414, 437), (414, 447), (412, 459), (395, 462), (380, 472), (388, 484), (372, 494), (356, 500), (329, 510), (316, 522), (323, 528), (332, 525), (362, 519), (387, 505), (405, 492), (431, 484), (447, 471), (460, 468), (465, 449), (466, 428), (465, 420), (456, 418), (443, 400)]
IMG_01459.png;(128, 342);[(148, 330), (97, 332), (112, 352), (124, 352), (145, 343), (163, 329)]
IMG_01459.png;(48, 223);[(77, 198), (92, 200), (96, 206), (81, 218), (69, 225), (55, 234), (46, 241), (37, 245), (34, 254), (30, 255), (23, 252), (23, 241), (33, 228), (38, 217), (37, 214), (41, 206), (47, 202), (54, 209), (58, 204), (66, 198)]
IMG_01459.png;(637, 158);[(654, 115), (682, 92), (694, 94), (704, 105), (713, 105), (717, 116), (722, 121), (731, 121), (747, 123), (751, 117), (761, 127), (766, 135), (776, 148), (758, 150), (748, 160), (723, 166), (701, 184), (673, 200), (637, 218), (612, 230), (586, 236), (558, 247), (546, 253), (527, 246), (538, 235), (531, 230), (515, 214), (532, 211), (538, 207), (540, 198), (545, 190), (567, 194), (572, 187), (568, 168), (580, 163), (572, 158), (562, 145), (575, 135), (586, 132), (582, 126), (582, 111), (595, 98), (595, 96), (598, 83), (622, 66), (635, 57), (651, 45), (661, 45), (665, 60), (654, 78), (641, 98), (632, 115), (641, 124), (653, 113)]
IMG_01459.png;(818, 339);[(761, 350), (837, 358), (855, 358), (869, 346), (848, 333), (835, 330), (839, 315), (824, 307), (803, 306), (790, 333), (775, 323), (757, 338)]
IMG_01459.png;(743, 617);[(754, 596), (761, 600), (778, 598), (781, 600), (777, 605), (766, 614), (764, 618), (758, 623), (752, 631), (738, 641), (733, 645), (723, 655), (716, 661), (712, 661), (698, 658), (690, 656), (688, 656), (691, 648), (705, 643), (705, 641), (698, 636), (708, 631), (714, 631), (722, 631), (725, 626), (723, 613), (728, 605), (737, 596), (747, 595)]
IMG_01459.png;(26, 647);[(12, 633), (21, 630), (28, 627), (34, 623), (45, 617), (50, 615), (59, 612), (59, 612), (52, 626), (40, 632), (26, 637), (38, 639), (45, 640), (51, 640), (60, 639), (61, 639), (63, 639), (59, 645), (52, 650), (42, 656), (35, 656), (25, 653), (19, 651), (13, 651), (7, 651), (3, 650), (6, 648), (8, 643), (9, 640)]
IMG_01459.png;(777, 202);[(750, 207), (754, 198), (757, 193), (761, 186), (765, 184), (766, 182), (772, 178), (772, 178), (779, 174), (782, 173), (786, 178), (786, 178), (788, 187), (788, 189), (791, 190), (795, 193), (801, 200), (806, 202), (809, 206), (801, 219), (795, 219), (786, 219), (777, 218), (766, 217), (762, 223), (766, 230), (771, 231), (774, 231), (780, 231), (786, 228), (790, 226), (795, 226), (788, 237), (781, 243), (775, 249), (771, 243), (763, 243), (760, 243), (757, 246), (752, 260), (752, 263), (740, 264), (731, 260), (724, 258), (717, 253), (713, 247), (719, 239), (726, 233), (733, 224), (736, 222), (736, 212), (727, 211), (728, 209), (738, 207), (744, 205), (751, 200)]
IMG_01459.png;(741, 244);[(736, 218), (708, 217), (709, 210), (722, 205), (732, 208), (747, 200), (747, 194), (766, 176), (783, 168), (789, 174), (792, 183), (801, 197), (812, 206), (808, 221), (781, 251), (773, 249), (772, 245), (759, 247), (760, 262), (743, 266), (719, 266), (719, 255), (711, 255), (710, 247), (705, 245), (717, 225), (731, 227)]
IMG_01460.png;(250, 444);[(259, 427), (270, 432), (281, 438), (290, 442), (295, 443), (295, 454), (299, 456), (306, 458), (304, 462), (295, 468), (279, 478), (273, 482), (251, 471), (227, 460), (203, 450), (188, 442), (182, 432), (187, 427), (196, 427), (196, 423), (183, 405), (175, 398), (163, 393), (161, 380), (155, 373), (153, 363), (163, 360), (183, 364), (196, 365), (201, 379), (209, 380), (214, 392), (212, 404), (214, 414), (217, 419), (225, 419), (231, 414), (240, 414), (247, 419), (252, 422)]
IMG_01460.png;(83, 387);[(73, 371), (94, 375), (103, 388), (115, 414), (125, 426), (127, 436), (115, 443), (96, 431), (95, 431), (84, 433), (74, 423), (80, 416), (71, 403), (35, 383), (14, 382), (8, 376), (7, 355), (24, 363), (45, 371), (60, 371)]
IMG_01460.png;(780, 613);[(981, 509), (1008, 523), (1001, 543), (981, 564), (949, 574), (923, 587), (906, 595), (913, 605), (887, 612), (838, 629), (763, 648), (737, 653), (729, 642), (726, 624), (740, 614), (723, 606), (719, 599), (730, 584), (753, 577), (778, 568), (782, 574), (791, 580), (809, 585), (823, 581), (817, 575), (807, 568), (808, 557), (821, 544), (835, 535), (849, 539), (864, 542), (885, 543), (920, 536), (947, 520), (980, 507)]
IMG_01460.png;(714, 163);[(665, 214), (688, 210), (698, 192), (759, 140), (749, 133), (728, 138), (719, 146), (701, 145), (691, 159), (696, 161), (686, 177), (673, 200), (652, 211)]
IMG_01460.png;(502, 148);[(482, 186), (488, 170), (488, 162), (487, 153), (491, 144), (497, 141), (501, 139), (503, 138), (508, 138), (514, 140), (511, 147), (508, 152), (500, 161), (494, 169)]
IMG_01460.png;(774, 103);[(831, 60), (818, 75), (801, 91), (786, 108), (772, 122), (763, 128), (751, 134), (743, 138), (738, 130), (743, 122), (757, 111), (767, 96), (771, 90), (783, 80), (790, 75), (804, 62), (818, 52), (831, 46), (833, 53)]
IMG_01460.png;(561, 662);[(578, 643), (585, 643), (591, 632), (580, 624), (566, 629), (553, 638), (548, 643), (538, 647), (527, 653), (504, 653), (502, 654), (479, 663), (505, 673), (523, 673), (527, 679), (537, 683), (553, 674), (580, 685), (595, 689), (620, 680), (625, 688), (636, 691), (652, 681), (645, 678), (623, 651), (607, 641), (598, 636), (595, 648), (589, 650)]
IMG_01460.png;(673, 688);[(671, 653), (682, 665), (682, 662), (680, 656), (694, 660), (702, 663), (706, 667), (701, 681), (692, 698), (687, 712), (688, 716), (694, 725), (701, 737), (710, 742), (720, 750), (727, 744), (736, 735), (737, 745), (748, 764), (748, 765), (732, 765), (716, 761), (705, 755), (692, 745), (680, 738), (683, 748), (687, 757), (687, 763), (666, 765), (666, 754), (666, 753), (657, 752), (646, 746), (640, 745), (636, 742), (638, 733), (652, 725), (660, 721), (662, 716), (660, 712), (653, 704), (642, 696), (636, 690), (626, 682), (610, 685), (597, 687), (558, 680), (544, 680), (514, 684), (481, 665), (478, 663), (471, 652), (476, 646), (493, 646), (500, 636), (506, 631), (508, 645), (504, 654), (528, 651), (541, 645), (556, 640), (561, 636), (568, 628), (578, 627), (586, 628), (594, 633), (604, 640), (613, 641), (618, 644), (634, 660), (636, 670), (643, 678), (652, 680), (654, 671), (654, 662), (653, 653), (654, 653), (658, 653)]
IMG_01461.png;(746, 619);[(718, 569), (718, 579), (693, 632), (680, 647), (673, 652), (673, 658), (709, 654), (786, 646), (843, 634), (849, 624), (842, 616), (825, 611), (805, 605), (795, 601), (793, 587), (784, 576), (770, 576), (759, 564), (744, 567)]
IMG_01461.png;(901, 359);[(867, 376), (880, 372), (891, 371), (901, 371), (905, 371), (913, 370), (931, 368), (932, 364), (929, 354), (924, 347), (914, 345), (908, 342), (897, 339), (886, 340), (864, 355), (865, 363), (864, 371)]
IMG_01461.png;(522, 510);[(512.0, 477.0), (502.0, 467.0), (498.0, 464.0), (492.0, 461.0), (492.0, 465.0), (495.0, 474.0), (497.0, 491.0), (487.0, 511.0), (473.0, 527.0), (480.0, 546.0), (483.0, 545.0), (493.0, 540.0), (505.0, 533.0), (524.0, 541.0), (524.0, 543.0), (531.0, 552.0), (538.0, 551.0), (552.0, 540.0), (557.0, 533.0), (574.0, 520.0), (582.0, 508.0), (598.0, 487.0), (602.0, 476.0), (597.0, 476.0), (588.0, 478.0), (582.875, 474.5833333333333), (590.0, 473.0), (610.0, 458.0), (626.0, 437.0), (624.0, 430.0), (617.0, 430.0), (613.0, 436.0), (603.0, 435.0), (594.0, 437.0), (590.0, 437.0), (584.0, 437.0), (578.0, 445.0), (570.0, 446.0), (561.0, 443.0), (555.0, 441.0), (541.0, 443.0), (521.0, 448.0), (503.0, 443.0), (498.0, 446.0), (505.0, 454.0), (511.0, 456.0), (521.0, 463.0), (527.0, 468.0), (535.0, 480.0), (534.0, 482.0), (525.0, 482.0), (520.0, 481.0), (512.0, 477.0)]
IMG_01461.png;(288, 165);[(283, 120), (288, 128), (289, 132), (290, 135), (293, 131), (294, 123), (299, 122), (313, 127), (326, 133), (340, 144), (314, 149), (311, 149), (309, 153), (316, 178), (316, 182), (316, 191), (319, 199), (329, 211), (336, 219), (322, 215), (298, 208), (288, 203), (268, 196), (250, 190), (234, 178), (221, 165), (223, 151), (231, 148), (245, 153), (257, 160), (262, 165), (263, 161), (257, 149), (250, 142), (244, 130), (240, 117), (230, 110), (232, 102), (238, 97), (245, 98), (255, 112), (270, 117), (273, 115)]
IMG_01461.png;(762, 202);[(736, 220), (741, 217), (749, 204), (748, 195), (750, 184), (765, 190), (772, 193), (778, 201), (767, 205), (766, 209), (761, 212), (748, 222), (743, 222)]
IMG_01461.png;(152, 629);[(173, 616), (181, 621), (189, 626), (194, 636), (194, 644), (191, 649), (187, 649), (181, 647), (177, 646), (175, 646), (181, 652), (184, 656), (184, 658), (180, 663), (169, 660), (157, 651), (145, 646), (132, 643), (119, 641), (109, 630), (105, 611), (95, 591), (89, 585), (83, 577), (83, 571), (86, 569), (104, 582), (112, 594), (121, 604), (129, 612), (134, 612), (138, 609), (145, 609), (156, 611), (162, 614)]
IMG_01461.png;(910, 711);[(881, 696), (885, 706), (891, 709), (897, 714), (899, 718), (904, 723), (904, 729), (905, 733), (913, 733), (928, 729), (927, 706), (911, 698), (895, 691)]
IMG_01461.png;(53, 72);[(62, 37), (84, 43), (113, 61), (126, 68), (140, 78), (123, 90), (106, 86), (103, 90), (90, 100), (81, 88), (78, 85), (75, 104), (83, 113), (68, 108), (52, 96), (36, 90), (27, 83), (28, 72), (32, 61), (30, 53), (26, 38), (40, 27), (48, 22), (61, 38)]
IMG_01462.png;(768, 565);[(796, 527), (805, 531), (813, 537), (820, 546), (811, 560), (798, 573), (793, 587), (781, 596), (770, 595), (758, 596), (753, 592), (741, 595), (726, 591), (718, 577), (720, 563), (724, 558), (724, 546), (728, 530), (735, 524), (745, 533), (750, 536), (758, 538), (770, 535), (764, 530), (763, 525), (770, 524), (776, 524), (786, 525)]
IMG_01462.png;(758, 724);[(766, 765), (811, 699), (780, 696), (741, 682), (731, 718), (726, 718), (704, 750), (730, 764)]
IMG_01462.png;(706, 500);[(691, 503), (691, 448), (738, 474), (722, 482), (727, 502), (725, 509), (730, 529), (716, 538), (689, 533), (683, 518)]
IMG_01462.png;(522, 697);[(537, 630), (534, 652), (535, 688), (537, 717), (532, 726), (513, 737), (475, 758), (457, 760), (464, 744), (486, 709), (507, 679), (522, 622), (529, 617), (540, 627)]
IMG_01462.png;(423, 55);[(436, 16), (435, 20), (448, 27), (455, 31), (456, 32), (447, 48), (453, 56), (453, 62), (450, 72), (450, 83), (451, 88), (456, 95), (451, 97), (440, 93), (418, 98), (433, 112), (413, 106), (401, 102), (386, 102), (391, 86), (402, 61), (402, 42), (406, 21), (411, 14), (418, 5), (424, 0), (437, 0), (447, 2), (442, 12), (440, 14)]
IMG_01462.png;(185, 241);[(200, 218), (216, 231), (228, 245), (232, 262), (243, 260), (245, 244), (258, 245), (266, 262), (274, 266), (278, 275), (248, 282), (232, 290), (214, 292), (202, 283), (192, 272), (182, 271), (164, 272), (148, 277), (142, 273), (130, 257), (122, 238), (118, 207), (123, 201), (141, 218), (153, 227), (166, 225), (177, 205), (186, 203), (188, 212)]
IMG_01462.png;(352, 261);[(391, 117), (395, 123), (411, 134), (414, 137), (426, 146), (428, 150), (421, 154), (410, 155), (401, 156), (393, 177), (388, 195), (385, 217), (384, 226), (381, 238), (374, 253), (375, 265), (375, 273), (372, 275), (356, 278), (355, 283), (351, 296), (344, 297), (331, 294), (304, 295), (287, 290), (284, 285), (288, 273), (295, 272), (311, 272), (324, 264), (330, 255), (350, 242), (357, 223), (366, 193), (383, 145), (387, 124)]
IMG_01462.png;(23, 569);[(4, 585), (20, 593), (24, 591), (52, 535), (52, 530), (42, 530), (28, 548), (21, 551), (5, 552)]
IMG_01463.png;(35, 648);[(9, 635), (22, 626), (25, 621), (28, 611), (30, 606), (32, 606), (37, 606), (39, 616), (41, 619), (44, 626), (47, 630), (51, 640), (53, 646), (59, 650), (58, 652), (51, 668), (36, 680), (31, 679), (20, 673), (20, 672), (19, 665), (19, 660), (20, 652), (20, 650), (11, 647)]
IMG_01463.png;(133, 659);[(118, 572), (126, 571), (133, 591), (141, 610), (157, 657), (166, 686), (155, 687), (142, 684), (123, 677), (106, 672), (82, 665), (73, 664), (56, 661), (45, 646), (37, 641), (22, 641), (12, 644), (8, 632), (16, 626), (25, 611), (31, 594), (44, 608), (56, 634), (71, 646), (84, 644), (115, 641), (123, 642), (122, 635), (120, 620), (110, 621), (102, 627), (93, 631), (84, 623), (77, 605), (82, 603), (90, 598), (100, 593), (104, 587), (100, 582), (106, 574), (106, 573)]
IMG_01463.png;(227, 98);[(196, 35), (200, 52), (203, 61), (211, 71), (221, 80), (226, 83), (231, 84), (243, 90), (244, 93), (244, 114), (244, 115), (233, 122), (221, 125), (210, 126), (201, 126), (197, 120), (197, 112), (198, 109), (200, 104), (201, 103), (198, 93), (200, 85), (199, 78), (199, 74), (198, 70), (191, 60), (190, 56), (187, 48), (186, 38), (187, 31), (188, 21), (190, 21), (196, 27)]
IMG_01463.png;(560, 184);[(524, 144), (560, 229), (584, 242), (596, 260), (608, 258), (576, 201), (555, 146), (547, 123), (540, 129)]
IMG_01463.png;(750, 728);[(732, 729), (730, 695), (731, 688), (752, 711), (771, 707), (772, 718), (743, 762), (741, 767), (730, 765), (729, 739)]
IMG_01463.png;(431, 539);[(406, 534), (416, 530), (425, 528), (432, 525), (437, 521), (448, 529), (455, 531), (458, 534), (459, 538), (451, 541), (447, 544), (441, 548), (435, 550), (426, 554), (420, 557), (410, 557), (403, 560), (403, 543), (404, 533)]
IMG_01463.png;(929, 277);[(928, 246), (942, 256), (954, 252), (951, 264), (952, 282), (951, 297), (944, 307), (932, 312), (925, 313), (920, 314), (911, 302), (910, 292), (911, 278), (907, 271), (901, 265), (904, 258), (907, 255), (902, 243), (900, 233), (902, 232), (913, 242)]
IMG_01463.png;(960, 361);[(956, 380), (955, 368), (951, 368), (947, 364), (946, 356), (950, 353), (954, 353), (966, 350), (969, 350), (973, 351), (975, 353), (977, 369), (978, 370), (977, 372), (971, 381), (962, 382)]
IMG_01464.png;(834, 177);[(880, 119), (876, 101), (882, 94), (888, 93), (898, 97), (905, 104), (911, 114), (921, 125), (932, 123), (940, 117), (945, 123), (948, 133), (947, 149), (937, 159), (920, 172), (884, 197), (853, 212), (835, 222), (812, 218), (804, 213), (798, 210), (796, 197), (794, 182), (792, 178), (802, 162), (801, 159), (802, 148), (805, 138), (814, 133), (822, 135), (832, 144), (845, 144), (854, 143), (860, 146), (868, 138), (871, 137), (877, 137), (878, 133), (880, 126)]
IMG_01464.png;(293, 733);[(296, 693), (307, 703), (308, 728), (316, 747), (322, 758), (320, 767), (293, 763), (283, 747), (277, 735), (275, 733), (270, 717), (270, 712), (278, 711), (283, 707), (285, 700), (285, 688), (288, 685)]
IMG_01464.png;(72, 182);[(48, 138), (55, 147), (63, 153), (76, 165), (82, 178), (85, 184), (98, 194), (111, 207), (114, 217), (116, 237), (116, 248), (112, 245), (103, 232), (99, 222), (92, 219), (86, 218), (78, 212), (72, 204), (67, 199), (52, 183), (49, 167), (38, 155), (33, 143)]
IMG_01464.png;(310, 114);[(315, 91), (326, 91), (342, 85), (355, 71), (370, 64), (376, 63), (366, 76), (354, 86), (341, 100), (335, 108), (326, 120), (314, 132), (311, 140), (308, 144), (290, 142), (288, 129), (285, 124), (281, 123), (289, 111), (296, 101), (305, 93)]
IMG_01464.png;(657, 171);[(667, 125), (667, 139), (671, 149), (677, 156), (690, 159), (703, 167), (697, 174), (674, 186), (667, 195), (664, 199), (657, 201), (653, 205), (644, 202), (640, 191), (639, 186), (635, 179), (632, 172), (631, 157), (635, 153), (644, 153), (654, 144), (655, 133), (658, 124), (664, 120)]
IMG_01464.png;(993, 316);[(1021, 290), (911, 290), (911, 297), (943, 316), (962, 332), (1022, 360)]
IMG_01464.png;(822, 450);[(808, 455), (795, 452), (793, 449), (787, 440), (787, 432), (787, 423), (787, 417), (786, 410), (775, 406), (764, 391), (771, 387), (776, 389), (785, 399), (791, 402), (795, 403), (802, 407), (804, 413), (808, 420), (812, 426), (815, 430), (822, 436), (829, 439), (833, 440), (840, 445), (847, 449), (852, 454), (856, 455), (861, 458), (863, 459), (863, 462), (861, 463), (853, 463), (846, 460), (839, 460), (834, 463), (830, 466), (820, 468), (814, 471), (806, 470), (805, 463), (806, 456)]
IMG_01465.png;(399, 224);[(440, 168), (444, 197), (447, 218), (450, 230), (454, 252), (454, 265), (454, 273), (437, 278), (427, 282), (416, 296), (405, 311), (400, 325), (394, 326), (384, 314), (376, 295), (353, 276), (327, 237), (321, 216), (321, 208), (330, 204), (335, 202), (377, 186), (407, 170), (424, 163), (428, 163), (435, 164)]
IMG_01465.png;(321, 164);[(291, 145), (308, 135), (313, 143), (342, 142), (341, 152), (338, 160), (342, 178), (343, 189), (331, 201), (318, 213)]
IMG_01465.png;(960, 208);[(930, 241), (936, 232), (942, 229), (933, 222), (939, 213), (940, 209), (942, 194), (949, 181), (962, 175), (977, 170), (991, 167), (1000, 168), (1007, 173), (1014, 180), (1000, 182), (993, 193), (991, 204), (994, 214), (998, 219), (998, 220), (986, 229), (978, 233), (963, 235), (951, 240), (942, 241), (927, 242)]
IMG_01465.png;(966, 611);[(942, 623), (944, 608), (941, 602), (940, 594), (940, 585), (941, 580), (948, 575), (951, 575), (946, 573), (943, 562), (942, 555), (941, 543), (938, 517), (941, 520), (948, 527), (951, 530), (955, 534), (962, 539), (970, 549), (980, 558), (982, 561), (978, 566), (972, 572), (965, 574), (977, 584), (983, 592), (991, 604), (995, 609), (996, 611), (996, 617), (995, 618), (992, 623), (985, 632), (978, 640), (972, 646), (963, 645), (956, 639), (947, 637), (942, 631)]
IMG_01465.png;(625, 334);[(581, 344), (604, 342), (615, 354), (618, 356), (616, 379), (640, 378), (669, 365), (658, 356), (650, 353), (650, 349), (663, 343), (670, 333), (663, 325), (664, 309), (665, 301), (665, 296), (653, 293), (640, 310), (617, 315), (595, 312), (589, 314)]
IMG_01465.png;(244, 565);[(253, 536), (267, 546), (273, 550), (265, 562), (252, 577), (260, 584), (265, 593), (254, 601), (243, 608), (235, 614), (230, 621), (215, 648), (213, 651), (208, 651), (204, 634), (220, 607), (232, 594), (223, 583), (201, 582), (188, 595), (184, 586), (167, 577), (156, 568), (163, 550), (176, 545), (201, 552), (216, 545), (224, 541), (244, 546)]
IMG_01465.png;(647, 27);[(682, 3), (686, 21), (675, 29), (656, 89), (652, 98), (639, 86), (630, 77), (622, 79), (613, 104), (606, 100), (608, 62), (609, 53), (602, 58), (591, 51), (588, 39), (580, 26), (593, 18), (601, 4), (622, 6), (623, 16), (633, 4)]
IMG_01465.png;(544, 68);[(541, 96), (556, 82), (568, 50), (548, 48), (529, 39), (509, 32), (522, 51), (524, 71), (534, 88)]
IMG_01465.png;(176, 404);[(215, 376), (247, 374), (267, 383), (275, 388), (287, 397), (304, 406), (315, 413), (317, 427), (313, 443), (316, 458), (317, 466), (295, 466), (282, 445), (254, 430), (236, 418), (216, 417), (231, 434), (234, 444), (206, 444), (181, 442), (161, 433), (138, 424), (122, 420), (101, 404), (88, 386), (93, 383), (90, 378), (91, 370), (94, 365), (86, 351), (82, 347), (93, 343), (125, 355), (140, 356), (156, 362), (164, 364), (176, 371), (187, 372), (197, 372)]
IMG_01465.png;(103, 246);[(165, 290), (173, 275), (157, 269), (150, 259), (115, 243), (83, 224), (81, 213), (77, 205), (70, 217), (63, 210), (51, 210), (47, 213), (54, 219), (39, 219), (55, 227), (69, 238), (67, 240), (75, 253), (92, 267), (109, 265), (136, 277), (134, 288)]
